no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,gender,weather,temperature,tidal
2492,3/15/2022 7:30:19 PM,"0150deb7d0,0339",Ucdba1bf15e1eb63bbe2a6bc301d768d0,秀秀蔥大餅,23.5764,119.57411,355094,62,1,多雲,19.0,1
2497,3/15/2022 8:07:52 PM,"0150deb7d0,0289",Ua5d612b844f3c29bede3e6e5528797f5,抓包．馬公分店,23.5729,119.57694,355244,59,0,多雲,19.0,2
2498,3/15/2022 8:12:45 AM,"0150deb7d0,0104",U954f8e628b485f2c105b7e035639650b,京典小吃部,23.56481,119.56895,352834,79,1,多雲,19.0,2
2499,3/15/2022 8:16:13 PM,"0150deb7d0,0432",U5d2e30cfd14fb44a3ce0125828900d16,多那之澎湖店,23.56483,119.56537,355279,56,0,多雲,19.0,2
2500,3/15/2022 8:28:42 PM,"0150deb7d0,0284",Uc90a03dc5c8efd275ba07ee176e23375,澎湖湯包王,23.57572,119.57479,355331,73,1,多雲,19.0,2
2501,3/15/2022 8:28:56 PM,"0150deb7d0,0125",U693d1863fb9246c18b3c343431fbad42,赤崁海產行,23.570610000000002,119.57208999999999,355333,69,0,多雲,19.0,2
2503,3/15/2022 8:38:12 PM,"0150deb7d0,0284",Ua08140440fb458d2532cb6381df1e7e5,澎湖湯包王,23.57572,119.57479,355379,16,0,多雲,19.0,2
2504,3/15/2022 8:39:34 AM,"0150deb7d0,0339",U58001d9adfe8f94262b41bcaf841093b,秀秀蔥大餅,23.5764,119.57411,352897,73,0,多雲,19.0,2
2506,3/15/2022 8:43:07 PM,"0150deb7d0,0125",Ua5d612b844f3c29bede3e6e5528797f5,赤崁海產行,23.570610000000002,119.57208999999999,355400,59,0,多雲,19.0,2
2508,3/15/2022 8:51:21 PM,"0150deb7d0,0159",Ud9f189e6e4cbc8628e6994a3adc90939,澎湖甘草芭樂,23.56577,119.56528999999999,355437,55,0,多雲,19.0,2
2511,3/15/2022 9:12:25 AM,"0150deb7d0,0032",U58001d9adfe8f94262b41bcaf841093b,澎湖伯伴手禮坊,23.57123973,119.5799884,353000,73,0,多雲,19.0,2
2516,3/16/2022 1:46:02 PM,"0150deb7d0,0024",U8793a2bb7e42885c2e17c4682d981151,澎漁宴餐廳,23.56625705,119.56901620000001,357173,24,1,陰,20.5,1
2518,3/16/2022 10:07:01 PM,"0150deb7d0,0109",U2a61f0c04f909838b1b52cce31614069,萬泰食品,23.57515,119.56778999999999,358876,17,0,陰,20.5,2
2521,3/16/2022 10:11:34 PM,"0150deb7d0,0134",Ucdba1bf15e1eb63bbe2a6bc301d768d0,呷飽飽燒烤屋,23.57558,119.58025,358900,62,1,陰,20.5,2
2522,3/16/2022 10:13:57 PM,"0150deb7d0,0338",Udf84da45a09c16e48b52336fd5d9d179,曾記滿福堂擔仔麵,23.57406,119.57323000000001,358917,79,1,陰,20.5,2
2524,3/16/2022 10:25:45 PM,"0150deb7d0,0139",Ua4642a4dd9dda411e6c254ac0443645b,紫光複合式餐飲,23.566010000000002,119.56687,358944,30,0,陰,20.5,2
2525,3/16/2022 10:35:26 AM,"0150deb7d0,0437",U370db04769a7c69d7a75983f1351aa23,台灣大餅早午餐,23.56718,119.56441000000001,356450,57,0,陰,20.5,2
2526,3/16/2022 10:42:00 AM,"0150deb7d0,0074",U115e1c0c4484de6723302d95a3024f11,媽宮海產行到了！,23.56491,119.56533,356472,79,0,陰,20.5,2
2528,3/16/2022 11:06:28 PM,"0150deb7d0,0210",U964abc9d948bfeafba4e573c12b14365,蔬脆蛋餅,23.56632,119.56511,358984,62,1,陰,20.5,2
2529,3/16/2022 11:21:39 AM,"0150deb7d0,0032",Ufb55cf9c80d5552ee0acf2fd81a4c299,澎湖伯伴手禮坊,23.57123973,119.5799884,356626,59,1,陰,20.5,2
2531,3/16/2022 11:44:10 AM,"0150deb7d0,0381",Udf84da45a09c16e48b52336fd5d9d179,信誼海產,23.570999999999998,119.57133,356718,79,1,陰,20.5,2
2532,3/16/2022 11:44:18 AM,"0150deb7d0,0096",Udf84da45a09c16e48b52336fd5d9d179,澎南海產行,23.5714,119.57172,356719,79,1,陰,20.5,2
2534,3/16/2022 12:02:08 PM,"0150deb7d0,0373",U30a6bc41cf10174b9c25ae2ce35f8adb,美德西點麵包店,23.5706,119.57208,356786,54,1,陰,20.5,2
2535,3/16/2022 12:02:12 PM,"0150deb7d0,0373",U56b1be03cd0560827b6add4d4590b750,美德西點麵包店,23.5706,119.57208,356787,25,1,陰,20.5,2
2538,3/16/2022 12:15:36 PM,"0150deb7d0,0078",Uf894ef43bf33bcb0e5abc0ddb9a50fcf,白灣景觀餐廳,23.56154,119.64737,356837,43,0,陰,20.5,2
2539,3/16/2022 12:15:47 PM,"0150deb7d0,0040",Uc29afc3b7c255de25b9b14f224b4a3f5,自由塔,23.56993769,119.5713121,356841,21,1,陰,20.5,2
2540,3/16/2022 12:28:11 PM,"0150deb7d0,0107",U731cac930835d6b45c4db9932ffc97f7,真鮮味小吃部,119.56491000000001,119.56929,356888,31,0,陰,20.5,1
2541,3/16/2022 12:33:54 PM,"0150deb7d0,0266",Uc17d732d4b25b2e3420e0bd8424619b6,外垵福氣刈包,23.56469,119.47946,356924,66,1,陰,20.5,1
2542,3/16/2022 12:59:03 PM,"0150deb7d0,0048",Ua4642a4dd9dda411e6c254ac0443645b,小門鯨魚洞站,23.65265094,119.5174826,357026,30,0,陰,20.5,1
2543,3/16/2022 2:02:09 PM,"0150deb7d0,0290",Ua5d612b844f3c29bede3e6e5528797f5,老餅新料蔥油餅,23.57605,119.57486000000002,357220,59,0,陰,20.5,1
2544,3/16/2022 2:10:19 PM,"0150deb7d0,0244",U777bd7ab1fdf2dd08c34b34acdcf50d9,三ㄚ店&潮style,23.56705,119.56538,357248,52,0,陰,20.5,1
2545,3/16/2022 2:26:13 PM,"0150deb7d0,0436",U42cd1dac03b8d84f1d468a0ff03d9969,味真香新港鴨肉羹臭豆腐,23.57536,119.57441999999999,357298,42,1,陰,20.5,0
2546,3/16/2022 3:19:56 PM,"0150deb7d0,0329",U777bd7ab1fdf2dd08c34b34acdcf50d9,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,357481,52,0,陰,20.5,0
2548,3/16/2022 3:42:30 PM,"0150deb7d0,0339",U75559c3a5e306d3cdf5a9e3dbd88febf,秀秀蔥大餅,23.5764,119.57411,357551,61,1,陰,20.5,0
2549,3/16/2022 3:48:40 PM,"0150deb7d0,0331",U67a7a0290b58d9e0f8cff519fe54860b,泉利餅舖,23.5667,119.56788999999999,357579,54,1,陰,20.5,0
2551,3/16/2022 3:53:51 PM,"0150deb7d0,0264",Ua4642a4dd9dda411e6c254ac0443645b,阿姨仙人掌冰,23.65683,119.55745,357601,30,0,陰,20.5,0
2552,3/16/2022 4:05:40 PM,"0150deb7d0,0333",U84d3f6e73571a6a5db8cabb3f2759eaa,光和咖啡,23.56495,119.58091999999999,357639,53,1,陰,20.5,0
2554,3/16/2022 4:17:13 PM,"0150deb7d0,0143",U38921889044f9156c3267a63513950f8,14巷復刻飛鏢餐館,23.56589,119.5663,357690,65,1,陰,20.5,0
2555,3/16/2022 4:22:23 PM,"0150deb7d0,0295",U2ddfdde26e6f72ab9142fe3b17cc8d0f,獨領風騷,23.56815,119.56751000000001,357716,39,0,陰,20.5,0
2556,3/16/2022 4:28:18 PM,"0150deb7d0,0024",U8f4ff1ca33fbab36a6affeca623b88db,澎漁宴餐廳,23.56625705,119.56901620000001,357754,29,0,陰,20.5,0
2557,3/16/2022 4:30:27 PM,"0150deb7d0,0240",U2ddfdde26e6f72ab9142fe3b17cc8d0f,文化路蔥油餅,23.56825,119.56753,357761,39,0,陰,20.5,0
2558,3/16/2022 4:45:18 PM,"0150deb7d0,0127",U73019f98ea2afa4da58f2ab9a2e6a8ee,遠東名產總匯,23.56656,119.56768000000001,357818,20,0,陰,20.5,0
2559,3/16/2022 5:06:24 PM,"0150deb7d0,0324",U16f92b0df914c40495c60e84bf79adba,榕徽嬤?吃吃喝喝,23.56909,119.59924,357910,40,0,陰,20.5,0
2560,3/16/2022 5:24:15 PM,"0150deb7d0,0218",U7d960aa5b8760290d6d3382fc96a7457,滷底撈-澎湖店,23.564989999999998,119.58107,357991,15,0,陰,20.5,0
2563,3/16/2022 7:13:19 PM,"0150deb7d0,0367",U181657e7c3044a6c151f5554c2de1613,丁丁川菜海鮮館,23.56354,119.56626000000001,358354,77,1,陰,20.5,1
2564,3/16/2022 7:19:20 PM,"0150deb7d0,0234",U715df1e900eb20c8a489602d1d2ea5cc,菊島石齋,23.5642,119.5645,358391,76,1,陰,20.5,1
2566,3/16/2022 7:42:06 PM,"0150deb7d0,0104",Ua4642a4dd9dda411e6c254ac0443645b,京典小吃部,23.56481,119.56895,358454,30,0,陰,20.5,1
2567,3/16/2022 7:47:43 PM,"0150deb7d0,0295",U38921889044f9156c3267a63513950f8,獨領風騷,23.56815,119.56751000000001,358465,65,1,陰,20.5,1
2568,3/16/2022 7:49:32 PM,"0150deb7d0,0252",U38921889044f9156c3267a63513950f8,飛特潛艦Victor Johni’R,23.56737,119.56745,358473,65,1,陰,20.5,1
2569,3/16/2022 7:55:47 PM,"0150deb7d0,0393",U4318c18d78a35e2d646db31b63ef92c6,紐西蘭牛排館,23.57295,119.57542,358489,55,0,陰,20.5,1
2570,3/16/2022 8:14:47 AM,"0150deb7d0,0216",U35f840c54ee263928f8f672f5273082e,新巴適經典麻辣鍋,23.57179,119.57882,356092,57,1,陰,20.5,1
2574,3/16/2022 8:46:14 PM,"0150deb7d0,0436",U863b8cae579201d96dab41d5e002a5a3,味真香新港鴨肉羹臭豆腐,23.57536,119.57441999999999,358608,31,0,陰,20.5,2
2575,3/16/2022 8:46:15 PM,"0150deb7d0,0244",Ua4642a4dd9dda411e6c254ac0443645b,三ㄚ店&潮style,23.56705,119.56538,358610,30,0,陰,20.5,2
