no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,gender,天氣,place_id,crowd,distance_km,crowd_rank
4004,2022/4/11 00:59,"0150deb7d0,0103",1caa071f-95f7-4e41-a4b8-2fe9188a381f,聚鮮食堂,23.5645,119.56516,432134,25,0,多雲,ChIJDzQp2CNbbDQRUpc_F9gG7ww,0,0.781,1
3997,2022/4/11 01:05,"0150deb7d0,0338",1caa071f-95f7-4e41-a4b8-2fe9188a381f,曾記滿福堂擔仔麵,23.57406,119.57323,432146,25,0,多雲,ChIJZU7sJiRbbDQR6ns6US0hX7g,0,1.39,2
3987,2022/4/10 20:22,"0150deb7d0,0339",1caa071f-95f7-4e41-a4b8-2fe9188a381f,秀秀蔥大餅,23.5764,119.57411,431633,25,0,多雲,ChIJOdEODuRabDQRdSnc3SoZEhA,0,1.95,3
3971,2022/4/10 17:23,"0150deb7d0,0297",1caa071f-95f7-4e41-a4b8-2fe9188a381f,?男子漢鐵板料理,23.57041,119.57188,431011,25,0,多雲,ChIJ_2jfBf6pQjQRI58z83GxwXA,0,480.663,4
